epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
16,683.872,0.72585,0.50157,0.9138,0.00377,0.97572,0.92588,0.94939,0.80948,0.57282,0.42675,0.90657,0.00188,0.001703,0.001703,0.001703
17,726.059,0.7085,0.48954,0.91095,0.00368,0.97359,0.92494,0.94881,0.80901,0.55894,0.41623,0.90501,0.00189,0.0016832,0.0016832,0.0016832
18,767.934,0.69856,0.48236,0.91074,0.00362,0.97897,0.92922,0.95007,0.81525,0.55737,0.41474,0.89889,0.00184,0.0016634,0.0016634,0.0016634
19,811.641,0.70053,0.4808,0.90542,0.00361,0.98075,0.92993,0.95104,0.82411,0.53622,0.40005,0.89461,0.00177,0.0016436,0.0016436,0.0016436
20,854.082,0.68862,0.47477,0.9001,0.00357,0.97961,0.92939,0.951,0.82421,0.53029,0.39433,0.88964,0.00175,0.0016238,0.0016238,0.0016238
21,896.131,0.68217,0.46961,0.89804,0.00359,0.97966,0.93082,0.95145,0.82324,0.54292,0.39712,0.89194,0.00193,0.001604,0.001604,0.001604
22,938.253,0.67383,0.46469,0.89415,0.0034,0.98047,0.93097,0.9511,0.82918,0.51772,0.38739,0.88879,0.00176,0.0015842,0.0015842,0.0015842
23,980.856,0.66471,0.45889,0.89535,0.00337,0.97918,0.93057,0.95125,0.83371,0.50803,0.38419,0.88491,0.00178,0.0015644,0.0015644,0.0015644
24,1022.97,0.67071,0.45939,0.89426,0.00332,0.98082,0.93114,0.95156,0.83606,0.50037,0.37763,0.88267,0.00157,0.0015446,0.0015446,0.0015446
25,1065.44,0.65248,0.45127,0.88997,0.00327,0.98003,0.93037,0.9506,0.83609,0.49666,0.37729,0.88022,0.00164,0.0015248,0.0015248,0.0015248
26,1107.85,0.64137,0.44271,0.88924,0.00317,0.98279,0.93194,0.9519,0.83595,0.50377,0.37618,0.88117,0.00181,0.001505,0.001505,0.001505
27,1150.47,0.64421,0.44021,0.88958,0.00306,0.98204,0.93155,0.95189,0.83713,0.50004,0.36621,0.88588,0.00148,0.0014852,0.0014852,0.0014852
28,1192.41,0.63924,0.43868,0.89136,0.00317,0.983,0.93367,0.9521,0.84628,0.47787,0.36209,0.87686,0.0015,0.0014654,0.0014654,0.0014654
29,1235.05,0.62902,0.43848,0.88585,0.00312,0.98129,0.93306,0.95778,0.84465,0.48408,0.36606,0.87596,0.00147,0.0014456,0.0014456,0.0014456
30,1277.07,0.63348,0.4351,0.88279,0.00307,0.98327,0.93465,0.95247,0.84647,0.47079,0.35786,0.87268,0.00148,0.0014258,0.0014258,0.0014258
31,1319.46,0.61397,0.42829,0.88041,0.00305,0.98085,0.93428,0.95842,0.83969,0.50933,0.36686,0.88137,0.00155,0.001406,0.001406,0.001406
32,1363.1,0.61619,0.4252,0.87957,0.00303,0.98372,0.93502,0.95285,0.84305,0.49087,0.36313,0.87376,0.00151,0.0013862,0.0013862,0.0013862
33,1405.64,0.60549,0.41898,0.87541,0.00298,0.98449,0.93538,0.95886,0.85229,0.46195,0.35044,0.86904,0.00146,0.0013664,0.0013664,0.0013664
34,1447.75,0.59714,0.41523,0.87461,0.00294,0.98454,0.93647,0.95968,0.84614,0.48326,0.35513,0.87135,0.00139,0.0013466,0.0013466,0.0013466
35,1489.62,0.61132,0.42405,0.87715,0.00297,0.98326,0.93438,0.95741,0.8555,0.45181,0.34491,0.86487,0.00147,0.0013268,0.0013268,0.0013268
36,1531.81,0.59499,0.41463,0.87332,0.00289,0.9854,0.93724,0.96021,0.86154,0.44246,0.34056,0.86802,0.00134,0.001307,0.001307,0.001307
37,1574.11,0.59192,0.41127,0.87341,0.00276,0.98202,0.93722,0.95907,0.86249,0.44046,0.34363,0.86401,0.00128,0.0012872,0.0012872,0.0012872
38,1616.37,0.59197,0.41048,0.86981,0.00285,0.9841,0.93873,0.96028,0.85963,0.45202,0.3386,0.8661,0.00132,0.0012674,0.0012674,0.0012674
39,1658.78,0.58001,0.40454,0.87156,0.00272,0.98221,0.93452,0.95826,0.85947,0.43992,0.33953,0.86554,0.0014,0.0012476,0.0012476,0.0012476
40,1700.82,0.58768,0.40889,0.87161,0.00285,0.98391,0.94022,0.96003,0.86008,0.45642,0.34825,0.86647,0.00136,0.0012278,0.0012278,0.0012278
41,1743.12,0.58058,0.40278,0.86966,0.00273,0.98504,0.9412,0.96068,0.86058,0.44577,0.33583,0.86141,0.00133,0.001208,0.001208,0.001208
42,1785.45,0.57548,0.40056,0.86825,0.00272,0.98612,0.93768,0.95972,0.86547,0.42723,0.32857,0.85929,0.00124,0.0011882,0.0011882,0.0011882
43,1827.52,0.57038,0.3983,0.86697,0.00266,0.98695,0.9389,0.96046,0.86638,0.43223,0.32972,0.86021,0.00126,0.0011684,0.0011684,0.0011684
44,1869.66,0.57486,0.40203,0.86541,0.00265,0.98624,0.94,0.96028,0.87006,0.42215,0.32727,0.85452,0.00128,0.0011486,0.0011486,0.0011486
45,1912.23,0.56891,0.39653,0.86261,0.00262,0.986,0.93991,0.96075,0.86999,0.42344,0.3284,0.85518,0.00132,0.0011288,0.0011288,0.0011288
46,1954.49,0.56919,0.39739,0.86531,0.00273,0.98562,0.93893,0.96033,0.86898,0.42497,0.32496,0.85715,0.00129,0.001109,0.001109,0.001109
47,1996.61,0.55518,0.3914,0.86377,0.0026,0.98512,0.93762,0.95962,0.86725,0.42195,0.32664,0.85606,0.00123,0.0010892,0.0010892,0.0010892
48,2039.1,0.56108,0.39108,0.86223,0.00261,0.98607,0.94062,0.96078,0.86674,0.42524,0.32366,0.85619,0.00124,0.0010694,0.0010694,0.0010694
49,2081.61,0.55426,0.38638,0.85969,0.00255,0.98785,0.94066,0.96061,0.87829,0.40546,0.31539,0.85282,0.00123,0.0010496,0.0010496,0.0010496
50,2123.94,0.55836,0.38644,0.85967,0.0025,0.98636,0.94099,0.96047,0.87334,0.41391,0.31883,0.85561,0.00119,0.0010298,0.0010298,0.0010298
51,2165.99,0.54387,0.38081,0.86062,0.00246,0.98777,0.93982,0.96067,0.87411,0.41095,0.31544,0.85275,0.00119,0.00101,0.00101,0.00101
52,2208.39,0.54245,0.37839,0.86088,0.0025,0.98871,0.94175,0.96106,0.8796,0.40131,0.31155,0.85191,0.00117,0.0009902,0.0009902,0.0009902
53,2250.71,0.54237,0.3803,0.858,0.0025,0.98758,0.94125,0.96109,0.8787,0.40452,0.31132,0.85023,0.00117,0.0009704,0.0009704,0.0009704
54,2292.95,0.54038,0.37782,0.85906,0.0025,0.98613,0.9424,0.9609,0.86821,0.43346,0.32149,0.86431,0.00118,0.0009506,0.0009506,0.0009506
55,2335.43,0.54681,0.38011,0.86102,0.00251,0.98713,0.94152,0.96059,0.87649,0.41125,0.31507,0.85161,0.00118,0.0009308,0.0009308,0.0009308
56,2377.88,0.54201,0.37956,0.85795,0.00247,0.98629,0.94103,0.96074,0.87159,0.41988,0.31782,0.85339,0.00121,0.000911,0.000911,0.000911
57,2420.36,0.54995,0.38012,0.85778,0.00249,0.98679,0.94174,0.96111,0.86985,0.4194,0.31515,0.85437,0.00117,0.0008912,0.0008912,0.0008912
58,2463.37,0.53067,0.37285,0.857,0.00247,0.98843,0.94191,0.96137,0.88059,0.39811,0.30727,0.8502,0.00109,0.0008714,0.0008714,0.0008714
59,2505.56,0.53096,0.3741,0.85516,0.00242,0.98769,0.94162,0.96117,0.87669,0.40599,0.31038,0.85203,0.0011,0.0008516,0.0008516,0.0008516
60,2547.91,0.52789,0.37102,0.8537,0.00239,0.98707,0.942,0.96109,0.88324,0.3913,0.30485,0.84813,0.00109,0.0008318,0.0008318,0.0008318
61,2590.22,0.52527,0.37041,0.85377,0.0024,0.98562,0.94153,0.96139,0.88121,0.39947,0.30773,0.84903,0.00116,0.000812,0.000812,0.000812
62,2632.38,0.51965,0.36721,0.85177,0.00232,0.98695,0.94352,0.96164,0.88448,0.39031,0.30286,0.84637,0.00114,0.0007922,0.0007922,0.0007922
63,2674.37,0.52113,0.36564,0.85462,0.0024,0.98841,0.94315,0.96143,0.88394,0.38646,0.30113,0.84727,0.00112,0.0007724,0.0007724,0.0007724
64,2716.45,0.51816,0.36633,0.85423,0.00236,0.98917,0.94224,0.96157,0.88195,0.39171,0.30257,0.84514,0.00112,0.0007526,0.0007526,0.0007526
65,2758.5,0.52734,0.3708,0.85359,0.00236,0.98856,0.94305,0.96167,0.88165,0.39472,0.30275,0.84662,0.0011,0.0007328,0.0007328,0.0007328
66,2800.81,0.51221,0.36163,0.85273,0.00228,0.98901,0.94267,0.96141,0.88342,0.38999,0.30049,0.847,0.0011,0.000713,0.000713,0.000713
67,2842.82,0.5123,0.36209,0.85196,0.00233,0.98659,0.94345,0.96138,0.88306,0.39202,0.30031,0.84654,0.00108,0.0006932,0.0006932,0.0006932
68,2885.04,0.51657,0.36194,0.85024,0.00232,0.98861,0.94267,0.96155,0.88719,0.37802,0.2958,0.84453,0.00105,0.0006734,0.0006734,0.0006734
69,2927.03,0.50304,0.35661,0.84875,0.0022,0.98803,0.9433,0.96168,0.88228,0.39516,0.30163,0.84733,0.00108,0.0006536,0.0006536,0.0006536
70,2969.27,0.50121,0.35493,0.84943,0.00227,0.98905,0.94311,0.9616,0.88674,0.38147,0.29571,0.84454,0.00103,0.0006338,0.0006338,0.0006338
71,3011.41,0.49642,0.35323,0.84754,0.0022,0.98868,0.94382,0.96186,0.88858,0.37856,0.29436,0.84315,0.00103,0.000614,0.000614,0.000614
72,3053.81,0.49672,0.35439,0.84787,0.00222,0.9879,0.94431,0.96179,0.88754,0.38061,0.29611,0.84419,0.00104,0.0005942,0.0005942,0.0005942
73,3096.37,0.50026,0.35594,0.84942,0.00225,0.98765,0.94379,0.96174,0.8899,0.3747,0.29284,0.84329,0.00098,0.0005744,0.0005744,0.0005744
74,3138.66,0.49555,0.35226,0.84867,0.00223,0.98941,0.94472,0.96204,0.88997,0.37487,0.29177,0.84282,0.00101,0.0005546,0.0005546,0.0005546
75,3181.41,0.50479,0.35614,0.84931,0.00225,0.98839,0.94422,0.96177,0.89315,0.36722,0.29022,0.84252,0.001,0.0005348,0.0005348,0.0005348
76,3224.13,0.49536,0.3516,0.84821,0.00218,0.98834,0.94352,0.9617,0.88938,0.37415,0.29108,0.84177,0.00101,0.000515,0.000515,0.000515
77,3266.22,0.49057,0.34917,0.84704,0.00217,0.98899,0.94453,0.96202,0.89048,0.37216,0.28982,0.84173,0.001,0.0004952,0.0004952,0.0004952
78,3309.45,0.49003,0.34938,0.84677,0.00218,0.99048,0.94403,0.96212,0.89133,0.371,0.28827,0.84144,0.00098,0.0004754,0.0004754,0.0004754
79,3351.96,0.48174,0.34379,0.84559,0.00206,0.98936,0.94436,0.96206,0.8892,0.37697,0.28978,0.84232,0.001,0.0004556,0.0004556,0.0004556
80,3394.11,0.48673,0.34617,0.84427,0.00216,0.98935,0.9448,0.96211,0.89353,0.36742,0.28729,0.84118,0.00099,0.0004358,0.0004358,0.0004358
81,3436.5,0.48874,0.34823,0.84656,0.00215,0.98989,0.94461,0.9622,0.8914,0.36981,0.28709,0.84133,0.00096,0.000416,0.000416,0.000416
82,3478.77,0.48868,0.34591,0.84496,0.00214,0.99,0.94541,0.96798,0.89106,0.37294,0.28752,0.84155,0.00098,0.0003962,0.0003962,0.0003962
83,3521.03,0.48712,0.34564,0.8444,0.00209,0.98959,0.94429,0.96214,0.88812,0.38162,0.2909,0.84248,0.00101,0.0003764,0.0003764,0.0003764
84,3563.17,0.48109,0.34168,0.84445,0.00207,0.99098,0.94492,0.96205,0.89358,0.36639,0.28539,0.84003,0.00099,0.0003566,0.0003566,0.0003566
85,3605.41,0.48133,0.34226,0.84439,0.00205,0.99025,0.9449,0.96231,0.8908,0.37262,0.28561,0.84135,0.00098,0.0003368,0.0003368,0.0003368
86,3647.96,0.47065,0.33702,0.84447,0.00201,0.99099,0.9445,0.96781,0.8927,0.36879,0.28532,0.8403,0.00097,0.000317,0.000317,0.000317
87,3690.17,0.47898,0.34083,0.84296,0.00212,0.99029,0.94565,0.96218,0.88961,0.3736,0.28623,0.8399,0.00098,0.0002972,0.0002972,0.0002972
88,3732.43,0.47727,0.34001,0.84273,0.00207,0.9906,0.94496,0.96819,0.8956,0.36492,0.28358,0.83848,0.00097,0.0002774,0.0002774,0.0002774
89,3774.48,0.46974,0.33614,0.84389,0.00204,0.99106,0.945,0.96231,0.89177,0.37002,0.28459,0.84006,0.00097,0.0002576,0.0002576,0.0002576
90,3816.85,0.47199,0.33766,0.84312,0.00206,0.99126,0.94506,0.96835,0.89684,0.36381,0.28236,0.83978,0.00097,0.0002378,0.0002378,0.0002378
91,3857.36,0.42842,0.3176,0.84535,0.00144,0.98912,0.94456,0.96756,0.88967,0.37778,0.28994,0.84206,0.00099,0.000218,0.000218,0.000218
92,3893.79,0.42137,0.31497,0.84215,0.00136,0.98975,0.94454,0.96788,0.89222,0.37096,0.28537,0.84054,0.00099,0.0001982,0.0001982,0.0001982
93,3929.93,0.41731,0.31185,0.84189,0.00137,0.99046,0.94534,0.96816,0.89264,0.37053,0.28525,0.83975,0.00096,0.0001784,0.0001784,0.0001784
94,3966.07,0.41578,0.31096,0.84026,0.00136,0.99003,0.94554,0.96828,0.89489,0.36838,0.28401,0.83889,0.00096,0.0001586,0.0001586,0.0001586
95,4002.11,0.41012,0.30716,0.84041,0.00133,0.99039,0.94544,0.96807,0.89562,0.36765,0.28227,0.83899,0.00097,0.0001388,0.0001388,0.0001388
96,4038.21,0.40545,0.30528,0.8406,0.0013,0.99102,0.94512,0.96832,0.89277,0.3741,0.28451,0.84096,0.00095,0.000119,0.000119,0.000119
97,4074.33,0.40918,0.30693,0.8395,0.0013,0.99046,0.945,0.96799,0.89376,0.36861,0.28297,0.83952,0.00093,9.92e-05,9.92e-05,9.92e-05
98,4110.36,0.40762,0.30525,0.83983,0.00134,0.99005,0.94617,0.9683,0.89679,0.36524,0.2809,0.83899,0.00094,7.94e-05,7.94e-05,7.94e-05
99,4146.32,0.40343,0.30304,0.83973,0.00134,0.99116,0.94534,0.96811,0.89418,0.37055,0.28257,0.83936,0.00094,5.96e-05,5.96e-05,5.96e-05
100,4182.36,0.40288,0.30303,0.83856,0.00128,0.9906,0.94559,0.96835,0.89735,0.36418,0.2802,0.8388,0.00094,3.98e-05,3.98e-05,3.98e-05
