epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5988,1.68758,1.42757,1.55131,0.0274,0.60185,0.87385,0.71446,0.39277,0.99234,1.05088,1.18419,0.0058,0.00066383,0.00066383,0.00066383
2,90.4953,1.10788,1.01916,1.11629,0.00892,0.68802,0.82606,0.78978,0.50779,0.89751,0.97811,1.09871,0.00465,0.00131732,0.00131732,0.00131732
3,133.007,1.05741,0.95556,1.0828,0.0076,0.81677,0.84819,0.87015,0.59982,0.91457,0.875,1.07623,0.0048,0.00195762,0.00195762,0.00195762
4,176.255,1.02098,0.88742,1.0686,0.00717,0.83138,0.85837,0.88993,0.66265,0.82038,0.77189,1.04735,0.00376,0.0019406,0.0019406,0.0019406
5,218.994,0.96667,0.81357,1.04024,0.00646,0.86155,0.87547,0.90774,0.70103,0.77312,0.69112,1.01871,0.0035,0.0019208,0.0019208,0.0019208
6,261.226,0.92604,0.76009,1.01265,0.00595,0.88668,0.88262,0.91553,0.71747,0.75244,0.64774,1.00382,0.00297,0.001901,0.001901,0.001901
7,303.303,0.91379,0.72333,1.00055,0.00577,0.88219,0.88605,0.91089,0.71627,0.72974,0.64058,0.98734,0.00306,0.0018812,0.0018812,0.0018812
8,345.318,0.88707,0.68818,0.98131,0.00543,0.95111,0.91138,0.93757,0.7626,0.69502,0.53519,0.96626,0.00283,0.0018614,0.0018614,0.0018614
9,388.498,0.86245,0.62988,0.96969,0.00484,0.95488,0.91411,0.93806,0.76675,0.67831,0.52298,0.95771,0.00246,0.0018416,0.0018416,0.0018416
10,430.567,0.82543,0.59145,0.95502,0.00472,0.96633,0.91849,0.94043,0.77221,0.67162,0.4927,0.94572,0.00246,0.0018218,0.0018218,0.0018218
11,472.682,0.78981,0.55595,0.94236,0.0045,0.96842,0.92153,0.94113,0.78584,0.62869,0.46506,0.93565,0.00226,0.001802,0.001802,0.001802
12,515.074,0.78361,0.54372,0.93924,0.00434,0.9728,0.92312,0.94852,0.79042,0.61651,0.45949,0.92775,0.00205,0.0017822,0.0017822,0.0017822
13,557.481,0.7683,0.53523,0.92949,0.00415,0.97249,0.92598,0.94887,0.80288,0.58955,0.44382,0.9199,0.00195,0.0017624,0.0017624,0.0017624
14,599.608,0.7611,0.52525,0.92304,0.00404,0.97164,0.92543,0.94889,0.79254,0.6225,0.45222,0.91906,0.00208,0.0017426,0.0017426,0.0017426
15,641.477,0.72786,0.50436,0.92059,0.00389,0.97729,0.92732,0.94999,0.81015,0.57344,0.41806,0.90569,0.0019,0.0017228,0.0017228,0.0017228
